Symbol,Exchange,ScripCode,Company Name,ISIN Code,Segment,YF
CNINFOTECH,BSE,544343,Capitalnumbers Infotech Ltd,INE0WXM01011,BSE SME,CNINFOTECH.BO
COMMAND,BSE,543843,Command Polymers Ltd,INE0LKQ01012,BSE SME,COMMAND.BO
COMRADE,BSE,543921,Comrade Appliances Ltd,INE0NXA01015,BSE SME,COMRADE.BO
CONTAINE,BSE,543606,Containe Technologies Ltd,INE0M8901010,BSE SME,CONTAINE.BO
COSMICCRF,BSE,543928,Cosmic CRF Ltd,INE0ORA01015,BSE SME,COSMICCRF.BO
COSPOWER,BSE,543172,Cospower Engineering Ltd,INE0CQB01010,BSE SME,COSPOWER.BO
COTFAB,BSE,544195,United Cotfab Ltd,INE0S0I01011,BSE SME,COTFAB.BO
CPML,BSE,542727,City Pulse Multiventures Ltd,INE056001014,BSE SME,CPML.BO
CRAZY,BSE,544807,Crazy Snacks Ltd,INE0RBX01014,BSE SME,CRAZY.BO
CRYOGENIC,BSE,544440,Cryogenic Ogs Ltd,INE0TL001013,BSE SME,CRYOGENIC.BO
CTCL,BSE,540652,Captain Technocast Ltd,INE931X01010,BSE SME,CTCL.BO
CTLLAB,BSE,544220,Clinitech Laboratory Ltd,INE0QMR01015,BSE SME,CTLLAB.BO
CWD,BSE,543378,CWD Ltd,INE0H8H01019,BSE SME,CWD.BO
DACHEPALLI,BSE,544667,Dachepalli Publishers Ltd,INE1F9M01018,BSE SME,DACHEPALLI.BO
DAPS,BSE,543651,DAPS Advertising Ltd,INE975Z01012,BSE SME,DAPS.BO
DAVIN,BSE,544331,Davin Sons Retail Ltd,INE0Q2L01013,BSE SME,DAVIN.BO
DEEPAKCHEM,BSE,544036,Deepak Chemtex Ltd,INE0RDM01013,BSE SME,DEEPAKCHEM.BO
DEFRAIL,BSE,544677,Defrail Technologies Ltd,INE0ZE201010,BSE SME,DEFRAIL.BO
DESCO,BSE,544387,Desco Infratech Ltd,INE0TGG01014,BSE SME,DESCO.BO
DEVLAB,BSE,543848,Dev Labtech Venture Ltd,INE0NIJ01025,BSE SME,DEVLAB.BO
DEVSON,BSE,544823,Devson Catalyst Ltd,INE2KRP01017,BSE SME,DEVSON.BO
DFPL,BSE,544201,Dindigul Farm Product Ltd,INE0S6R01027,BSE SME,DFPL.BO
DGL,BSE,542155,Diksha Greens Ltd,INE01GR01018,BSE SME,DGL.BO
DHARNI,BSE,543753,Dharni Capital Services Ltd,INE0M9Q01011,BSE SME,DHARNI.BO
DHAVAL,BSE,544854,Dhaval Packaging Ltd,INE1HX301016,BSE SME,DHAVAL.BO
DHILLON,BSE,544556,Dhillon Freight Carrier Ltd,INE0SPJ01011,BSE SME,DHILLON.BO
DHYAANITR,BSE,543516,Dhyaani Tradeventtures Ltd,INE0K5F01014,BSE SME,DHYAANITR.BO
DIGILOGIC,BSE,544684,Digilogic Systems Ltd,INE1OOT01028,BSE SME,DIGILOGIC.BO
DIKSAT,BSE,540151,Diksat Transworld Ltd,INE942P01013,BSE SME,DIKSAT.BO
DIKSHA,BSE,544798,Diksha Polymers Ltd,INE1OSI01014,BSE SME,DIKSHA.BO
DKUAL,BSE,544170,Dolphin Kitchen Utensils and Appliances Ltd,INE0QXT01018,BSE SME,DKUAL.BO
DLCL,BSE,541299,Dr Lalchandani Labs Ltd,INE871Z01013,BSE SME,DLCL.BO
DML,BSE,540811,Diggi Multitrade Ltd,INE158R01012,BSE SME,DML.BO
DMR,BSE,543410,DMR Engineering Ltd,INE07L501010,BSE SME,DMR.BO
DPL,BSE,543594,Dipna Pharmachem Ltd,INE0MC401013,BSE SME,DPL.BO
DRA,BSE,540144,DRA Consultants Ltd,INE746V01016,BSE SME,DRA.BO
DRONACHRYA,BSE,543713,Droneacharya Aerial Innovations Ltd,INE0MQD01015,BSE SME,DRONACHRYA.BO
EARKART,BSE,544549,Earkart Ltd,INE1A8F01035,BSE SME,EARKART.BO
EARTH,BSE,543765,Earthstahl & Alloys Ltd,INE0O4V01010,BSE SME,EARTH.BO
EIGHTY,BSE,543518,Eighty Jewellers Ltd,INE0KSN01014,BSE SME,EIGHTY.BO
EKENNIS,BSE,543475,Ekennis Software Service Ltd,INE0KCM01010,BSE SME,EKENNIS.BO
ELFIN,BSE,544724,Elfin Agro India Ltd,INE1FEW01013,BSE SME,ELFIN.BO
EMIAC,BSE,544747,Emiac Technologies Ltd,INE1OSW01015,BSE SME,EMIAC.BO
EMMFORCE,BSE,544166,Emmforce Autotech Ltd,INE0SDC01012,BSE SME,EMMFORCE.BO
EPBIO,BSE,543595,EP Biocomposites Ltd,INE0D2I01014,BSE SME,EPBIO.BO
ESSEX,BSE,544475,Essex Marine Ltd,INE1IBY01019,BSE SME,ESSEX.BO
EUPHORIAIT,BSE,544094,Euphoria Infotech (India) Ltd,INE0PYT01018,BSE SME,EUPHORIAIT.BO
EVANS,BSE,542668,Evans Electric Ltd,INE06TD01010,BSE SME,EVANS.BO
EVOQ,BSE,543500,Evoq Remedies Ltd,INE0JVD01011,BSE SME,EVOQ.BO
EXATO,BSE,544626,Exato Technologies Ltd,INE1E4401010,BSE SME,EXATO.BO
EXHICON,BSE,543895,Exhicon Events Media Solutions Ltd,INE0O8901016,BSE SME,EXHICON.BO
FAALCON,BSE,544164,Faalcon Concepts Ltd,INE0Q9W01015,BSE SME,FAALCON.BO
FABCLEAN,BSE,544332,Fabtech Technologies Cleanrooms Ltd,INE0HSD01011,BSE SME,FABCLEAN.BO
FABINO,BSE,543444,Fabino Enterprises Ltd,INE0DRT01018,BSE SME,FABINO.BO
FIL,BSE,544707,Fractal Industries Ltd,INE1W3Q01011,BSE SME,FIL.BO
FILTRA,BSE,539098,Filtra Consultants and Engineers Ltd,INE541R01019,BSE SME,FILTRA.BO
FOCUS,BSE,543312,Focus Business Solution Ltd,INE0DXR01010,BSE SME,FOCUS.BO
FONE4,BSE,543521,Fone4 Communications (India) Ltd,INE0L3H01014,BSE SME,FONE4.BO
FRANKLIN,BSE,539839,Franklin Leasing and Finance Ltd,INE399S01010,BSE SME,FRANKLIN.BO
FTL,BSE,544173,Finelistings Technologies Ltd,INE0QOQ01013,BSE SME,FTL.BO
GALLARD,BSE,544616,Gallard Steel Ltd,INE0BUQ01012,BSE SME,GALLARD.BO
GANGAPHARM,BSE,539680,Ganga Pharmaceuticals Ltd,INE615T01017,BSE SME,GANGAPHARM.BO
GANVERSE,BSE,539041,Ganesha Ecoverse Ltd,INE369Q01017,BSE SME,GANVERSE.BO
GARGI,BSE,543709,PNGS Gargi Fashion Jewellery Ltd,INE0NT601018,BSE SME,GARGI.BO
GBLOGISTIC,BSE,544348,GB Logistics Commerce Ltd,INE0RWU01016,BSE SME,GBLOGISTIC.BO
GCMCAPI,BSE,538319,GCM Capital Advisors Ltd,INE191P01017,BSE SME,GCMCAPI.BO
GCMCOMM,BSE,535917,GCM Commodity & Derivatives Ltd,INE200P01016,BSE SME,GCMCOMM.BO
GCONNECT,BSE,544156,Gconnect Logitech and Supply Chain Ltd,INE0QHY01011,BSE SME,GCONNECT.BO
GEL,BSE,540613,Gautam Exim Ltd,INE721X01023,BSE SME,GEL.BO
GEMENVIRO,BSE,544199,GEM Enviro Management Ltd,INE0RUJ01013,BSE SME,GEMENVIRO.BO
GETALONG,BSE,543372,Getalong Enterprise Ltd,INE0H1201020,BSE SME,GETALONG.BO
GHUSHINE,BSE,539864,Ghushine Fintrrade Ocean Ltd,INE009U01011,BSE SME,GHUSHINE.BO
GLAAMUP,BSE,542477,Glaam Up Jwel Ltd,INE03CM01014,BSE SME,GLAAMUP.BO
GLEN,BSE,544444,Glen Industries Ltd,INE0UMC01019,BSE SME,GLEN.BO
GLHRL,BSE,543520,Global Longlife Hospital and Research Ltd,INE0J2K01014,BSE SME,GLHRL.BO
